Year	Mode	Count
2024	Ped	340
2024	Bike	433
2024	Ped	411
2024	Bike	57
2024	Ped	134
2024	Bike	66
2024	Ped	193
2024	Bike	66
2024	Ped	237
2024	Bike	27
2024	Ped	231
2024	Bike	222
2024	Ped	181
2024	Bike	362
2024	Ped	357
2024	Bike	70
2024	Ped	62
2024	Bike	82
2024	Ped	132
2024	Bike	362
2024	Ped	207
2024	Bike	446
2024	Ped	430
2024	Bike	88
2024	Ped	314
2024	Bike	96
2024	Ped	360
2024	Bike	21
2024	Ped	351
2024	Bike	13
2024	Ped	335
2023	Bike	145
2023	Ped	200
2023	Bike	182
2023	Ped	276
2023	Bike	193
2023	Ped	584
2023	Bike	270
2023	Ped	555
2023	Bike	173
2023	Ped	243
2023	Bike	209
2023	Ped	312
2023	Bike	108
2023	Ped	252
2023	Bike	176
2023	Ped	231
2023	Bike	36
2023	Ped	156
2023	Bike	54
2023	Ped	247
2023	Bike	109
2023	Ped	182
2023	Bike	203
2023	Ped	406
2023	Bike	188
2023	Ped	341
2023	Bike	231
2023	Ped	638
2023	Bike	272
2023	Ped	382
2023	Bike	326
2023	Ped	559
2023	Bike	153
2023	Ped	257
2023	Bike	238
2023	Ped	393
2023	Bike	77
2023	Ped	150
2023	Bike	116
2023	Ped	375
2023	Bike	74
2023	Ped	288
2023	Bike	116
2023	Ped	415
2023	Bike	39
2023	Ped	100
2023	Bike	41
2023	Ped	102
2023	Bike	331
2023	Ped	270
2023	Bike	407
2023	Ped	445
2023	Bike	363
2023	Ped	225
2023	Bike	527
2023	Ped	442
2023	Bike	480
2023	Ped	335
2023	Bike	531
2023	Ped	463
2023	Bike	73
2023	Ped	344
2023	Bike	80
2023	Ped	683
2023	Bike	242
2023	Ped	391
2023	Bike	331
2023	Ped	634
2023	Bike	113
2023	Ped	274
2023	Bike	49
2023	Ped	229
2023	Bike	57
2023	Ped	172
2023	Bike	90
2023	Ped	247
2023	Bike	12
2023	Ped	210
2023	Bike	23
2023	Ped	253
2023	Bike	0
2023	Ped	0
2023	Bike	48
2023	Ped	237
2023	Bike	17
2023	Ped	121
2023	Bike	49
2023	Ped	102
2023	Bike	110
2023	Ped	163
2023	Bike	54
2023	Ped	153
2023	Bike	114
2023	Ped	193
2023	Bike	212
2023	Ped	270
2023	Bike	30
2023	Ped	241
2023	Bike	49
2023	Ped	352
2023	Bike	48
2023	Ped	219
2023	Bike	38
2023	Ped	310
2023	Bike	36
2023	Ped	209
2023	Bike	76
2023	Ped	240
2023	Bike	62
2023	Ped	250
2023	Bike	94
2023	Ped	347
2023	Bike	72
2023	Ped	81
2023	Bike	81
2023	Ped	125
2023	Bike	104
2023	Ped	161
2023	Bike	93
2023	Ped	342
2023	Bike	10
2023	Ped	159
2023	Bike	18
2023	Ped	134
2023	Bike	63
2023	Ped	161
2023	Bike	72
2023	Ped	240
2023	Bike	35
2023	Ped	173
2023	Bike	34
2023	Ped	204
2023	Bike	104
2023	Ped	379
2023	Bike	98
2023	Ped	217
2023	Bike	500
2023	Ped	345
2023	Bike	442
2023	Ped	427
2023	Bike	44
2023	Ped	97
2023	Bike	48
2023	Ped	146
2023	Bike	33
2023	Ped	219
2023	Bike	36
2023	Ped	399
2023	Bike	182
2023	Ped	198
2023	Bike	253
2023	Ped	418
2023	Bike	88
2023	Ped	72
2023	Bike	125
2023	Ped	239
2023	Bike	290
2023	Ped	203
2023	Bike	308
2023	Ped	334
2023	Bike	436
2023	Ped	311
2023	Bike	377
2023	Ped	355
2023	Bike	24
2023	Ped	449
2023	Bike	23
2023	Ped	667
